CustomerID,구매건수,평균구매간격,구매발생일수,Recency,총구매수량,구입상품_평균가격,총지출액,최대지출_카테고리,구매제품_종류
USER_0000,1,,1,108,3,12.745,30.99,Apparel,2
USER_0001,31,111.5000,3,60,342,62.436,13834.9,Apparel,42
USER_0002,8,119.0000,2,74,209,14.631304,1442.12,Nest-USA,21
USER_0003,11,,1,18,21,77.2,1360.07,Nest-USA,11
USER_0004,13,,1,108,56,34.578611,1442.47,Nest-USA,33
USER_0005,3,,1,131,86,14.713125,601.81,Apparel,16
USER_0006,44,30.0000,2,190,613,43.579231,6914.31,Nest-USA,62
USER_0007,5,,1,25,22,30.021429,471.58,Nest-USA,13
USER_0008,37,139.0000,2,41,421,65.722208,9950.31,Nest-USA,55
USER_0009,39,24.0000,4,100,185,44.617246,4954.12,Nest-USA,50
USER_0010,6,123.0000,2,157,15,47.793,581.89,Nest-USA,10
USER_0011,10,,1,115,25,29.475263,702.22,Nest-USA,18
USER_0012,13,14.0000,2,123,119,56.145909,2233.43,Nest-USA,17
USER_0013,14,80.5000,3,165,61,39.595938,1383.64,Nest-USA,30
USER_0014,6,,1,95,17,47.255455,677.16,Nest-USA,11
USER_0015,14,,1,11,67,65.559231,2297.3,Nest-USA,23
USER_0016,10,22.0000,2,132,259,50.115769,2916.34,Nest-USA,21
USER_0017,6,1.0000,2,18,7,85.908571,601.36,Nest-USA,6
USER_0018,24,9.0000,3,141,169,33.134043,2772.53,Nest-USA,38
USER_0019,15,57.0000,3,75,157,38.236,1661.75,Nest-USA,28
USER_0020,6,,1,77,17,120.325455,2012.17,Nest-USA,10
USER_0021,9,1.0000,2,103,101,45.101538,1024.12,Nest-USA,11
USER_0022,8,,1,173,17,36.058125,725.93,Nest-USA,15
USER_0023,3,163.0000,2,171,170,25.593846,1326.77,Nest-USA,13
USER_0024,10,,1,263,133,56.36,2239.74,Nest-USA,17
USER_0025,32,80.7500,5,41,57,90.893182,5600.17,Nest-USA,24
USER_0026,55,45.5000,3,266,1494,41.015102,13829.98,Nest-USA,97
USER_0027,1,,1,223,15,2.13,31.52,Lifestyle,3
USER_0028,14,56.0000,3,18,26,76.300556,2466.96,Nest,15
USER_0029,11,1.0000,2,278,16,106.016364,1731.18,Nest-USA,7
USER_0030,57,,1,104,799,49.428515,9722.05,Nest-USA,61
USER_0031,6,,1,14,10,144.843333,1250.89,Nest-USA,5
USER_0032,7,,1,52,26,72.221667,1379.78,Nest-USA,10
USER_0033,70,33.2000,11,16,279,64.093359,13907.84,Nest-USA,73
USER_0034,67,146.0000,3,63,508,57.482778,11417.33,Nest-USA,79
USER_0035,27,48.0000,6,61,225,104.337222,6791.94,Nest-USA,20
USER_0036,13,194.0000,2,34,302,71.091111,3155.61,Nest,21
USER_0037,2,,1,27,2,126.395,252.79,Nest-USA,2
USER_0038,14,,1,148,51,24.404048,1290.43,Nest-USA,39
USER_0039,13,37.6667,4,152,757,37.288696,10068.55,Headgear,39
USER_0040,6,,1,167,27,35.360714,993.38,Nest-USA,14
USER_0041,35,,1,150,434,27.44051,5335.14,Nest-USA,75
USER_0042,6,,1,151,48,31.928,781.67,Nest-USA,14
USER_0043,22,,1,124,61,41.243953,2717.19,Nest-USA,36
USER_0044,5,33.0000,4,165,9,41.131429,414.91,Nest-USA,7
USER_0045,3,,1,141,5,13.152,65.76,Apparel,5
USER_0046,71,55.0000,3,42,606,38.095688,10021.23,Nest-USA,98
USER_0047,21,,1,16,117,115.213548,5118.81,Nest-USA,18
USER_0048,1,,1,158,1,10.63,10.63,Headgear,1
USER_0049,12,,1,105,216,34.158276,1393.55,Nest-USA,24
USER_0050,4,,1,172,95,19.464375,1271.14,Apparel,16
USER_0051,3,,1,132,28,21.065714,497.77,Notebooks & Journals,7
USER_0052,5,1.0000,2,140,23,21.23625,547.75,Nest-USA,16
USER_0053,6,,1,108,424,9.157,1636.97,Lifestyle,10
USER_0054,22,,1,35,96,98.852581,4510.39,Nest-USA,16
USER_0055,8,,1,152,86,34.037692,1233.68,Nest-USA,12
USER_0056,100,29.3333,4,54,486,73.559947,19024.0,Nest-USA,92
USER_0057,32,70.6667,4,22,310,36.427031,4120.18,Nest-USA,53
USER_0058,9,,1,189,17,94.088,1680.26,Nest-USA,7
USER_0059,14,27.0000,3,70,91,26.394103,1478.7,Nest,36
USER_0060,4,98.0000,3,137,10,30.28,277.62,Apparel,8
USER_0061,11,60.0000,2,21,136,84.075455,2786.23,Nest-USA,15
USER_0062,71,155.0000,3,11,519,55.014178,12235.27,Nest-USA,86
USER_0063,5,,1,46,190,44.937273,1599.95,Nest,11
USER_0064,33,,1,203,976,44.871343,5932.2,Nest-USA,54
USER_0065,40,36.0000,4,57,116,45.528289,5677.5,Nest-USA,47
USER_0066,15,213.0000,2,152,155,31.423571,2361.48,Nest-USA,40
USER_0067,26,10.0000,2,161,212,32.892568,3809.52,Nest-USA,57
USER_0068,1,,1,303,1,18.99,18.99,Apparel,1
USER_0069,21,,1,60,158,106.55,4440.63,Nest,19
USER_0070,5,,1,93,131,21.850833,849.08,Office,12
USER_0071,8,105.0000,4,16,16,52.191333,783.38,Nest-USA,13
USER_0072,4,,1,137,18,63.592222,1144.66,Nest,9
USER_0073,2,,1,257,3,94.396667,283.19,Nest-USA,3
USER_0074,4,,1,66,19,20.028125,339.35,Nest,14
USER_0075,20,38.0000,3,188,117,39.156061,2434.21,Nest-USA,29
USER_0076,24,31.5000,3,16,186,67.678448,5886.88,Nest-USA,39
USER_0077,34,22.0000,5,28,582,44.043881,5100.25,Nest-USA,54
USER_0078,26,40.0000,2,57,125,38.243867,4378.81,Nest-USA,54
USER_0079,1,,1,136,2,30.395,60.79,Apparel,2
USER_0080,8,,1,52,77,65.3125,2440.42,Nest-USA,13
USER_0081,28,40.3333,4,189,216,51.600377,3882.93,Nest-USA,37
USER_0082,1,,1,258,2,7.19,14.38,Bags,2
USER_0083,7,,1,145,255,37.144444,2435.47,Office,8
USER_0084,26,21.0000,3,88,169,39.392941,2731.26,Nest-USA,45
USER_0085,16,344.0000,2,13,148,44.369412,2969.7,Nest-USA,31
USER_0086,5,,1,91,5,153.198,765.99,Nest,4
USER_0087,2,28.0000,2,104,17,5.1,82.8,Apparel,4
USER_0088,2,,1,206,4,18.99,75.96,Waze,2
USER_0089,38,153.0000,2,32,214,67.067432,6682.52,Nest-USA,50
USER_0090,3,,1,124,10,25.515,255.15,Nest-USA,10
USER_0091,11,,1,114,35,65.944783,1769.83,Nest-USA,18
USER_0092,10,,1,22,13,101.0875,1364.93,Nest-USA,9
USER_0093,3,,1,173,6,38.436,202.98,Nest-USA,5
USER_0094,88,43.0000,7,29,504,42.263767,15419.82,Nest-USA,149
USER_0095,68,61.8000,6,21,230,65.769921,12186.51,Nest-USA,75
USER_0096,38,42.7500,5,93,744,47.904026,9876.2,Apparel,59
USER_0097,6,,1,335,9,101.862857,958.58,Nest-USA,5
USER_0098,8,40.3333,4,66,19,48.308,1320.62,Nest-USA,15
USER_0099,4,,1,79,17,105.885556,1708.95,Nest,8
USER_0100,13,,1,187,36,43.953333,1644.38,Nest-USA,27
USER_0101,21,89.5000,3,124,170,54.908485,2806.98,Nest-USA,23
USER_0102,16,75.3333,4,54,200,69.470909,3030.23,Nest-USA,30
USER_0103,27,53.0000,7,11,65,57.192766,3743.1,Nest-USA,38
USER_0104,26,135.5000,3,35,225,74.860462,6810.07,Nest-USA,45
USER_0105,10,85.0000,2,179,144,48.555,1944.75,Nest-USA,15
USER_0106,7,,1,133,13,37.123636,529.04,Nest-USA,10
USER_0107,14,1.0000,2,326,795,48.58625,4812.79,Office,19
USER_0108,16,143.0000,2,45,42,49.8944,1912.64,Nest-USA,21
USER_0109,8,,1,82,15,75.4375,917.73,Gift Cards,11
USER_0110,7,,1,135,87,33.973077,545.52,Nest-USA,11
USER_0111,38,217.0000,2,35,1121,99.145484,12269.8,Nest,32
USER_0112,2,,1,172,5,15.24,79.95,Apparel,4
USER_0113,18,114.0000,2,42,65,50.114651,2890.57,Nest-USA,36
USER_0114,1,,1,138,25,6.345,141.85,Drinkware,4
USER_0115,8,,1,336,17,109.73,1778.57,Nest-USA,6
USER_0116,34,1.0000,2,69,366,81.863929,9363.55,Nest-USA,24
USER_0117,10,105.5000,3,95,211,45.842,1729.89,Nest-USA,20
USER_0118,328,7.5758,34,108,4869,45.015295,74601.36,Nest-USA,308
USER_0119,20,88.0000,2,153,136,25.999808,1979.47,Nest-USA,43
USER_0120,17,,1,11,66,82.325405,3721.9,Nest-USA,27
USER_0121,1,,1,264,2,24.99,49.98,Apparel,1
USER_0122,8,1.0000,2,305,39,58.219375,1080.69,Nest-USA,13
USER_0123,28,,1,56,217,93.798667,5447.88,Nest-USA,28
USER_0124,28,64.0000,3,143,158,31.536591,4114.4,Nest-USA,74
USER_0125,7,10.0000,2,14,29,87.887692,1401.16,Nest,10
USER_0126,3,,1,31,10,58.482222,529.59,Nest-USA,9
USER_0127,15,161.5000,3,8,98,39.680952,2355.47,Nest-USA,37
USER_0128,32,41.3333,4,65,172,51.23125,4045.21,Nest-USA,44
USER_0129,8,,1,246,17,39.416429,700.21,Nest-USA,14
USER_0130,2,,1,363,2,70.15,140.3,Nest-USA,2
USER_0131,11,182.0000,2,145,61,51.803333,2315.97,Nest-USA,20
USER_0132,7,51.0000,2,213,18,16.255294,355.34,Nest-USA,17
USER_0133,5,,1,303,105,46.708571,557.99,Nest-USA,6
USER_0134,5,,1,112,107,25.904545,633.02,Nest-USA,11
USER_0135,31,101.5000,3,54,313,90.056531,7699.88,Nest,28
USER_0136,6,62.0000,3,90,18,60.808333,1023.26,Nest-USA,12
USER_0137,19,1.0000,2,26,227,52.368718,2884.55,Nest,28
USER_0138,28,,1,361,483,39.615085,4323.49,Nest-USA,43
USER_0139,23,48.0000,3,186,107,55.425676,3602.29,Nest-USA,29
USER_0140,49,74.7500,5,35,376,68.515636,11711.93,Nest,76
USER_0141,9,,1,9,18,164.327857,2785.79,Nest-USA,9
USER_0142,12,16.0000,2,29,43,41.505652,2015.76,Nest-USA,19
USER_0143,23,3.0000,2,69,46,88.693056,4590.74,Nest-USA,22
USER_0144,3,,1,349,7,133.083333,890.33,Nest-USA,2
USER_0145,1,,1,210,2,119.0,238.0,Nest-USA,1
USER_0146,24,1.0000,2,213,307,37.318966,3433.81,Nest-USA,47
USER_0147,19,153.5000,3,50,101,58.263913,5419.64,Nest-USA,37
USER_0148,1,,1,270,2,17.075,34.15,Apparel,2
USER_0149,31,142.0000,2,116,290,35.850758,3794.47,Nest-USA,55
USER_0150,1,,1,240,1,1.2,1.2,Office,1
USER_0151,11,77.0000,2,123,19,65.711176,1355.09,Nest-USA,12
USER_0152,1,,1,33,2,114.0,228.0,Nest-USA,2
USER_0153,2,,1,289,4,17.19,68.76,Apparel,4
USER_0154,7,,1,344,37,59.577692,1123.9,Nest-USA,10
USER_0155,19,1.0000,2,87,178,63.95775,3916.58,Nest-USA,29
USER_0156,30,94.5000,3,165,394,55.833729,5963.99,Nest-USA,39
USER_0157,1,,1,118,3,6.835,15.35,Notebooks & Journals,2
USER_0158,8,,1,204,21,17.302353,297.3,Apparel,16
USER_0159,5,,1,26,13,70.61,878.39,Nest-USA,6
USER_0160,2,4.0000,2,186,2,9.69,19.38,Apparel,2
USER_0161,2,,1,77,49,20.485556,836.6,Apparel,27
USER_0162,2,,1,146,18,11.578333,192.24,Apparel,6
USER_0163,7,,1,265,36,32.59125,708.45,Nest-USA,15
USER_0164,7,1.0000,2,179,42,44.847143,1017.77,Nest-USA,12
USER_0165,25,71.5000,5,66,54,84.015,4915.03,Nest-USA,20
USER_0166,6,47.0000,2,81,28,34.8505,883.55,Nest-USA,20
USER_0167,14,,1,1,35,105.751579,3002.01,Nest-USA,12
USER_0168,13,15.0000,2,153,70,21.251613,891.63,Nest-USA,30
USER_0169,6,1.0000,2,265,49,13.145625,592.91,Drinkware,16
USER_0170,10,71.5000,3,192,23,55.397368,1452.08,Nest-USA,15
USER_0171,2,,1,89,52,35.01125,510.4,Apparel,8
USER_0172,31,23.1429,15,13,150,48.528298,3963.39,Nest-USA,38
USER_0173,4,35.0000,3,131,144,9.711667,1163.22,Notebooks & Journals,6
USER_0174,2,129.0000,2,118,2,78.3,156.6,Nest-USA,2
USER_0175,2,,1,18,4,168.866667,556.55,Nest,3
USER_0176,7,18.0000,2,41,89,25.173333,794.51,Nest-USA,15
USER_0177,8,,1,252,12,66.121818,846.34,Nest-USA,9
USER_0178,23,46.0000,2,66,137,54.336667,2565.35,Nest-USA,29
