,고객ID,가입날짜,최초거래날짜,최근거래날짜,구매횟수,구매제품수,구매원가,할인가,배송료,총결제금액,평균결제금액,평균할인차액,평균할인비율,구매제품평균금액,Cluster
0,USER_0000,988,108,108,1,3,35.69,24.980000000000004,75.0,99.98,99.98,-10.71,0.11,8.33,Sleep
1,USER_0001,659,283,60,31,342,15902.78,15021.670000000002,286.46,15308.13,493.81,-28.42,0.06,43.92,VVIP
2,USER_0002,1205,193,74,8,209,1645.73,1492.42,81.07,1573.49,196.69,-19.16,0.1,7.14,Need Attention
3,USER_0003,764,18,18,11,21,1508.36,1339.57,82.39,1421.96,129.27,-15.34,0.12,63.79,About to Sleep
4,USER_0004,988,108,108,13,56,1594.23,1369.9299999999998,154.49,1524.42,117.26,-17.25,0.15,24.46,About to Sleep
5,USER_0005,1275,131,131,3,86,696.47,688.02,18.0,706.02,235.34,-2.82,0.01,8.0,About to Sleep
6,USER_0006,701,220,190,44,613,7654.1,7366.31,341.8,7708.110000000001,175.18,-6.54,0.04,12.02,VIP
7,USER_0007,771,25,25,5,22,526.96,492.6,38.48,531.08,106.22,-6.87,0.06,22.39,Sleep
8,USER_0008,841,180,41,37,421,10842.99,10473.22,334.5,10807.72,292.1,-9.99,0.03,24.88,VVIP
9,USER_0009,1023,172,100,39,185,5505.82,5271.3,300.87,5572.17,142.88,-6.01,0.04,28.49,Newcomer
10,USER_0010,1163,280,157,6,15,651.9300000000001,579.4100000000001,47.25,626.6600000000001,104.44,-12.09,0.12,38.63,Sleep
11,USER_0011,988,115,115,10,25,780.36,778.34,74.49,852.83,85.28,-0.2,0.0,31.13,About to Sleep
12,USER_0012,1205,137,123,13,119,2454.91,2217.09,126.41,2343.5,180.27,-18.29,0.1,18.63,Need Attention
13,USER_0013,372,326,165,14,61,1554.56,1463.41,98.97,1562.38,111.6,-6.51,0.06,23.99,About to Sleep
14,USER_0014,736,95,95,6,17,755.4,603.21,42.91,646.12,107.69,-25.36,0.24,35.48,Sleep
15,USER_0015,295,11,11,14,67,2539.16,2464.37,131.65,2596.02,185.43,-5.34,0.03,36.78,Need Attention
16,USER_0016,477,154,132,10,259,3289.0,3182.76,155.76999999999998,3338.53,333.85,-10.62,0.03,12.29,Need Attention
17,USER_0017,1352,19,18,6,7,662.14,653.49,38.5,691.99,115.33,-1.44,0.01,93.36,Sleep
18,USER_0018,911,159,141,24,169,3079.95,2935.76,189.48,3125.24,130.22,-6.01,0.05,17.37,Need Attention
19,USER_0019,1128,189,75,15,157,1866.69,1744.4,129.61,1874.01,124.93,-8.15,0.07,11.11,Need Attention
20,USER_0020,1163,77,77,6,17,2173.1,1988.43,50.48,2038.91,339.82,-30.78,0.09,116.97,Need Attention
21,USER_0021,1527,104,103,9,101,1134.47,920.73,61.99,982.72,109.19,-23.75,0.22,9.12,About to Sleep
