,고객ID,가입날짜,거래날짜,거래ID,제품카테고리,제품카테고리수,구매제품수,구매원가,할인가,쿠폰사용여부,배송료,총결제금액
0,USER_0000,2017-04-18,2019-09-15,Transaction_16900,"['Apparel', 'Office']",2,3,35.69,24.980000000000004,1,75.0,99.98
1,USER_0001,2018-03-13,2019-11-01,Transaction_20178,"['Office', 'Apparel']",2,2,13.0,12.469999999999999,1,20.85,33.32
2,USER_0001,2018-03-13,2019-11-01,Transaction_20179,"['Lifestyle', 'Apparel']",2,4,21.659999999999997,21.659999999999997,0,6.0,27.659999999999997
3,USER_0001,2018-03-13,2019-11-02,Transaction_20180,['Nest-USA'],1,1,163.9,163.9,0,6.0,169.9
4,USER_0001,2018-03-13,2019-11-02,Transaction_20181,['Nest-USA'],1,1,163.9,163.9,0,6.0,169.9
5,USER_0001,2018-03-13,2019-11-02,Transaction_20182,['Nest-USA'],1,1,163.9,131.12,1,12.99,144.11
6,USER_0001,2018-03-13,2019-11-02,Transaction_20183,['Nest-USA'],1,2,327.8,327.8,0,6.0,333.8
7,USER_0001,2018-03-13,2019-11-02,Transaction_20184,['Nest-USA'],1,1,163.9,163.9,0,6.0,169.9
8,USER_0001,2018-03-13,2019-11-02,Transaction_20185,"['Apparel', 'Apparel', 'Apparel', 'Apparel']",4,4,37.28,36.38,1,6.0,42.38
9,USER_0001,2018-03-13,2019-11-02,Transaction_20186,['Nest'],1,1,366.45,293.16,1,12.99,306.15000000000003
10,USER_0001,2018-03-13,2019-11-02,Transaction_20187,"['Apparel', 'Apparel', 'Apparel']",3,3,59.28,53.09,1,6.0,59.09
11,USER_0001,2018-03-13,2019-11-02,Transaction_20188,['Nest-USA'],1,1,163.9,131.12,1,6.0,137.12
12,USER_0001,2018-03-13,2019-11-02,Transaction_20189,['Office'],1,5,30.25,24.2,1,6.0,30.2
13,USER_0001,2018-03-13,2019-11-02,Transaction_20190,"['Accessories', 'Office', 'Office', 'Office']",4,4,16.46,15.14,1,6.0,21.14
14,USER_0001,2018-03-13,2019-11-02,Transaction_20191,['Nest-USA'],1,2,327.8,262.24,1,19.99,282.23
15,USER_0001,2018-03-13,2019-11-02,Transaction_20192,['Nest-USA'],1,1,163.9,163.9,0,6.0,169.9
16,USER_0001,2018-03-13,2019-11-02,Transaction_20193,['Nest-USA'],1,1,163.9,163.9,0,6.0,169.9
17,USER_0001,2018-03-13,2019-11-02,Transaction_20194,['Nest'],1,1,292.95,234.36,1,6.0,240.36
18,USER_0001,2018-03-13,2019-11-02,Transaction_20195,"['Nest-USA', 'Nest-USA']",2,2,217.8,191.62,1,6.0,197.62
19,USER_0001,2018-03-13,2019-03-24,Transaction_5262,"['Office', 'Office']",2,2,14.280000000000001,10.98,1,14.41,25.39
20,USER_0001,2018-03-13,2019-03-24,Transaction_5263,"['Nest-USA', 'Nest-USA']",2,6,598.4,549.23,1,6.5,555.73
21,USER_0001,2018-03-13,2019-03-24,Transaction_5264,"['Bags', 'Office', 'Drinkware', 'Headgear', 'Drinkware']",5,23,117.60000000000001,112.65,1,49.73,162.38
22,USER_0001,2018-03-13,2019-03-24,Transaction_5265,"['Apparel', 'Apparel', 'Apparel', 'Apparel', 'Apparel']",5,217,10239.83,9843.45,1,6.5,9849.95
23,USER_0001,2018-03-13,2019-03-24,Transaction_5266,['Nest-USA'],1,1,163.9,163.9,0,6.5,170.4
24,USER_0001,2018-03-13,2019-03-24,Transaction_5267,['Nest-USA'],1,3,392.7,392.7,0,6.5,399.2
25,USER_0001,2018-03-13,2019-03-24,Transaction_5268,['Nest-USA'],1,1,130.9,91.63,1,6.5,98.13
26,USER_0001,2018-03-13,2019-03-24,Transaction_5269,['Office'],1,30,184.47,184.47,0,6.5,190.97
27,USER_0001,2018-03-13,2019-03-24,Transaction_5270,"['Apparel', 'Apparel']",2,2,41.510000000000005,41.510000000000005,0,6.5,48.010000000000005
28,USER_0001,2018-03-13,2019-03-24,Transaction_5271,['Nest-USA'],1,2,261.8,183.26,1,6.5,189.76
29,USER_0001,2018-03-13,2019-03-24,Transaction_5272,"['Nest-USA', 'Nest-USA', 'Nest-USA']",3,7,740.3,740.3,0,6.5,746.8
