,고객ID,가입날짜,최초거래날짜,최근거래날짜,구매횟수,구매제품수,구매원가,할인가,배송료,총결제금액,평균결제금액,평균할인차액,평균할인비율,구매제품평균금액
0,USER_0000,2017-04-18,2019-09-15,2019-09-15,1,3,35.69,24.980000000000004,75.0,99.98,99.98,-10.71,0.11,8.33
1,USER_0001,2018-03-13,2019-03-24,2019-11-02,31,342,15902.779999999999,15021.670000000002,286.46,15308.130000000001,493.81,-28.42,0.06,43.92
2,USER_0002,2016-09-13,2019-06-22,2019-10-19,8,209,1645.73,1492.42,81.07,1573.49,196.69,-19.16,0.1,7.14
3,USER_0003,2017-11-28,2019-12-14,2019-12-14,11,21,1508.36,1339.57,82.39,1421.96,129.27,-15.34,0.12,63.79
4,USER_0004,2017-04-18,2019-09-15,2019-09-15,13,56,1594.23,1369.9299999999998,154.49,1524.42,117.26,-17.25,0.15,24.46
5,USER_0005,2016-07-05,2019-08-23,2019-08-23,3,86,696.47,688.02,18.0,706.02,235.34,-2.82,0.01,8.0
6,USER_0006,2018-01-30,2019-05-26,2019-06-25,44,613,7654.1,7366.31,341.8,7708.110000000001,175.18,-6.54,0.04,12.02
7,USER_0007,2017-11-21,2019-12-07,2019-12-07,5,22,526.96,492.6,38.480000000000004,531.08,106.22,-6.87,0.06,22.39
8,USER_0008,2017-09-12,2019-07-05,2019-11-21,37,421,10842.99,10473.22,334.5,10807.72,292.1,-9.99,0.03,24.88
9,USER_0009,2017-03-14,2019-07-13,2019-09-23,39,185,5505.82,5271.3,300.87,5572.17,142.88,-6.01,0.04,28.49
10,USER_0010,2016-10-25,2019-03-27,2019-07-28,6,15,651.9300000000001,579.4100000000001,47.25,626.6600000000001,104.44,-12.09,0.12,38.63
11,USER_0011,2017-04-18,2019-09-08,2019-09-08,10,25,780.36,778.34,74.49,852.83,85.28,-0.2,0.0,31.13
12,USER_0012,2016-09-13,2019-08-17,2019-08-31,13,119,2454.91,2217.09,126.41,2343.5,180.27,-18.29,0.1,18.63
13,USER_0013,2018-12-25,2019-02-09,2019-07-20,14,61,1554.56,1463.41,98.97,1562.38,111.6,-6.51,0.06,23.99
14,USER_0014,2017-12-26,2019-09-28,2019-09-28,6,17,755.4,603.21,42.91,646.12,107.69,-25.36,0.24,35.48
15,USER_0015,2019-03-12,2019-12-21,2019-12-21,14,67,2539.16,2464.37,131.65,2596.02,185.43,-5.34,0.03,36.78
16,USER_0016,2018-09-11,2019-07-31,2019-08-22,10,259,3289.0,3182.76,155.76999999999998,3338.53,333.85,-10.62,0.03,12.29
